"Brand,Model,QuickSlicksPart,SupertiresPart,Notes,Source"
"Carrera,Ferrari 599,CA16,1308,"
"Carrera,Ferrari (1:24),N/A,12402,"
"Carrera,Ferrari Enzo,CB58,1408,"
"Carrera,Ferrari FXX,FL03 NC03,1004,"
"Carrera,Fire Truck,CA21,1309,"
"Carrera,T'bird (1956),CB30,1301,"
"Carrera,Ford Capri Group 5,CA21,1309,"
"Carrera,Ford Capri Group 5 (1:24),N/A,12415,"
"Carrera,Ford GT,N/A,1105,"
"Carrera,Ford GT40 (1:24),N/A,12406,"
"Carrera,Ford GT GTE,CA03,1105,"
"Carrera,Ford GT GTE (1:24),CA292,12401,"
"Carrera,Ford Mustang 1965,CB30,1301,"
"Carrera,Ford Mustang Fire/Police,CA02 CA03,1310,"
"Carrera,Ford Mustang GT3,N/A,1307,"
"Carrera,Ford Mustang GT350,CB29,1204,"
"Carrera,Ford Mustang Shelby GT350,N/A,1601,"
"Carrera,Ford Mustang GTY,CA101,1313,"
"Carrera,Ford Torino (Classic Nascar),CA06,1302,"
"Carrera,Formula E,CA02,1310,"
"Carrera,Francesco Bennolli,CA21,1309,"
"Carrera,Green GT H2,CA02 CA03,1307,"
"Carrera,Hot Rod (1:24),BR06,ST014,"
"Carrera,KTM X Bow,CA02,1310,"
"Carrera,Lamborghini Huracan (Race),CB58 CB59,1310,"
"Carrera,Lamborghini Huracan (1:24),N/A,12417,"
"Carrera,Lamborghini Huracan (Street),CB57,1310,"
"Carrera,Lanci Beta Montecarlo,CB48,1007 1008 1009 2112 2114,"
"Carrera,Lola T70 (1:24),N/A,12416,"
"Carrera,Maserati A6GCS,CB30,1301,"
"Carrera,McLaren 720S,CA02 CA03,1310,"
"Carrera,McLaren M20 CanAm,N/A,1304,"
"Carrera,Mercedes AMG GT3,CA02 CA03,1310,"
"Carrera,Mercedes AMG C63 DTM,CA02 CA03,1310,"
"Carrera,Mercedes AMG C63 DTM (1:24),CA292,12401,"
"Carrera,Mercedes AMG C Klasse 2007,CA02 CA03,1307,"
"Carrera,Mercedes SLR,NC02 NC03,1003 1004,"
"Carrera,Mercedes SLS,CA16,1308,"
"Carrera,Mustang GTY,CA101,1313,"
